,Date for BTC/USD,Historical data for BTC/USD - Price,Historical data for BTC/USD - Market Cap
0,"Dec 26, 2024",98575.57,36011442176
1,"Dec 24, 2024",98676.09,47114953674
2,"Dec 23, 2024",94686.24,65239002919
3,"Dec 22, 2024",95104.94,43147981314
4,"Dec 21, 2024",97224.73,51765334294
5,"Dec 20, 2024",97755.93,105634083408
6,"Dec 19, 2024",97490.95,97221662392
7,"Dec 18, 2024",100041.54,93865656139
8,"Dec 17, 2024",106140.60,68589364868
9,"Dec 16, 2024",106029.72,91020417816
10,"Dec 15, 2024",104298.70,51145914137
11,"Dec 14, 2024",101372.97,40422968793
12,"Dec 13, 2024",101459.26,56894751583
13,"Dec 12, 2024",100043.00,72073983533
14,"Dec 11, 2024",101173.03,85391409936
15,"Dec 10, 2024",96675.43,104823780634
16,"Dec 9, 2024",97432.72,110676473908
17,"Dec 8, 2024",101236.02,44125751925
18,"Dec 7, 2024",99923.34,44177510897
19,"Dec 6, 2024",99920.71,94534772658
20,"Dec 5, 2024",96593.57,149218945580
21,"Dec 4, 2024",98768.53,77199817112
22,"Dec 3, 2024",96002.16,67067810961
23,"Dec 2, 2024",95865.30,72680784305
24,"Dec 1, 2024",97279.79,36590695296
25,"Nov 30, 2024",96449.05,31634227866
26,"Nov 29, 2024",97461.52,54968682476
27,"Nov 28, 2024",95652.47,52260008261
28,"Nov 27, 2024",95962.53,71133452438
29,"Nov 26, 2024",91985.32,91656519855
30,"Nov 25, 2024",93102.30,80909462490
31,"Nov 24, 2024",98013.82,51712020623
32,"Nov 23, 2024",97777.28,44414644677
33,"Nov 22, 2024",98997.66,78473580551
34,"Nov 21, 2024",98504.73,106024505582
35,"Nov 20, 2024",94339.49,71730956426
36,"Nov 19, 2024",92343.79,74521048295
37,"Nov 18, 2024",90542.64,75535775084
38,"Nov 17, 2024",89845.85,46350159305
39,"Nov 16, 2024",90558.48,44333192814
40,"Nov 15, 2024",91066.01,78243109518
41,"Nov 14, 2024",87250.43,87616705248
42,"Nov 13, 2024",90584.16,123559027869
43,"Nov 12, 2024",87955.81,133673285375
44,"Nov 11, 2024",88701.48,117966845037
45,"Nov 10, 2024",80474.19,82570594495
46,"Nov 9, 2024",76778.87,29009480361
47,"Nov 8, 2024",76545.48,55176858003
48,"Nov 7, 2024",75904.86,63467654989
49,"Nov 6, 2024",75639.08,118592653963
50,"Nov 5, 2024",69359.56,46046889204
51,"Nov 4, 2024",67811.51,41184819348
52,"Nov 3, 2024",68741.12,34868307655
53,"Nov 2, 2024",69289.27,18184612091
54,"Nov 1, 2024",69482.47,49989795365
55,"Oct 31, 2024",70215.19,40627912076
56,"Oct 30, 2024",72339.54,40646637831
57,"Oct 29, 2024",72720.49,58541874402
58,"Oct 28, 2024",69907.76,38799856657
59,"Oct 27, 2024",67929.30,16721307878
60,"Oct 26, 2024",67014.70,19588098156
61,"Oct 25, 2024",66642.41,41469984306
62,"Oct 24, 2024",68161.05,31414428647
63,"Oct 23, 2024",66432.20,32263980353
64,"Oct 22, 2024",67361.41,31808472566
65,"Oct 21, 2024",67367.85,37498611780
66,"Oct 20, 2024",69001.70,18975847518
67,"Oct 19, 2024",68362.73,14443497908
68,"Oct 18, 2024",68418.79,36857165014
69,"Oct 17, 2024",67399.84,32790898511
70,"Oct 16, 2024",67612.72,38195189534
71,"Oct 15, 2024",67041.11,48863870879
72,"Oct 14, 2024",66046.13,43706958056
73,"Oct 13, 2024",62851.38,18177529690
74,"Oct 12, 2024",63193.02,16744110886
75,"Oct 11, 2024",62445.09,30327141594
76,"Oct 10, 2024",60274.50,30452813570
77,"Oct 9, 2024",60582.10,27670982363
78,"Oct 8, 2024",62131.97,28134475157
79,"Oct 7, 2024",62236.66,34253562610
80,"Oct 6, 2024",62818.95,14776233667
81,"Oct 5, 2024",62089.95,13305410749
82,"Oct 4, 2024",62067.48,29585472513
83,"Oct 3, 2024",60759.40,36106447279
84,"Oct 2, 2024",60632.79,40762722398
85,"Oct 1, 2024",60837.01,50220923500
86,"Sep 30, 2024",63329.50,37112957475
87,"Sep 29, 2024",65635.30,14788214575
88,"Sep 28, 2024",65887.65,15243637984
89,"Sep 27, 2024",65790.66,32058813449
90,"Sep 26, 2024",65181.02,36873129847
91,"Sep 25, 2024",63143.14,25078377700
92,"Sep 24, 2024",64301.97,29938335243
93,"Sep 23, 2024",63329.80,31400285425
94,"Sep 22, 2024",63648.71,20183348802
95,"Sep 21, 2024",63394.84,14408616220
96,"Sep 20, 2024",63192.98,35177164222
97,"Sep 19, 2024",62940.46,42710252573
98,"Sep 18, 2024",61649.68,40990702891
99,"Sep 17, 2024",60308.54,38075570118
100,"Sep 16, 2024",58192.51,32032822113
101,"Sep 15, 2024",59182.84,18120960867
102,"Sep 14, 2024",60005.12,16428405496
103,"Sep 13, 2024",60571.30,32490528356
