review_es,sentiment
"Uno de los otros críticos ha mencionado que después de ver solo 1 Oz Episodio, estará enganchado. Tienen razón, ya que esto es exactamente lo que sucedió conmigo. La primera cosa que me golpeó sobre Oz fue su brutalidad y sus escenas de violencia inconfiadas, que se encuentran a la derecha de la palabra. Confía en mí, este no es un espectáculo para los débiles de corazón o tímido. Este espectáculo no extrae punzones con respecto a las drogas, el sexo o la violencia. Es Hardcore, en el uso clásico de la palabra. Se llama OZ, ya que es el apodo dado al Penitenciario del Estado de Seguridad Máximo de Oswald. Se centra principalmente en la ciudad de Emeralda, una sección experimental de la prisión donde todas las células tienen frentes de vidrio y se enfrentan hacia adentro, por lo que la privacidad no es alta en la agenda. Em City es el hogar de muchos ... Fariarios, musulmanes, gangstas, latinos, cristianos, italianos, irlandeses y más ... así que las esposas, las miradas de muerte, las relaciones peligrosas y los acuerdos sombreados nunca están lejos. Yo diría el principal atractivo de El espectáculo se debe al hecho de que va donde otros espectáculos no se atreverían. Olvídate de las imágenes bonitas pintadas para las audiencias convencionales, olvidan el encanto, olviden el romance ... Oz no se mete. El primer episodio que he visto me sorprendió tan desagradable que fue surrealista, no podía decir que estaba listo para ello, pero cuando observé más, desarrollé un gusto por Oz, y me acostumbré a los altos niveles de violencia gráfica. No solo la violencia, sino la injusticia (Guardias torcidas que se vendrán por un níquel, los reclusos que se matarán en orden y se alejarán con él, de manera educada, los reclusos de clase media se convirtieron en perras de la prisión debido a su falta de habilidades callejeras O experiencia en la prisión) viendo oz, puede sentirse cómodo con lo que es incómodo visualización ... eso es si puedes ponerte en contacto con tu lado más oscuro.",positive
"Una pequeña pequeña producción.La técnica de filmación es muy incuestionable, muy antigua, la moda de la BBC y le da una sensación de realismo reconfortante, y, a veces, incómodo, y, a veces, a la pieza.Los actores son extremadamente bien elegidos, Michael Sheen, no solo ""tiene todo el polari"", ¡pero tiene todas las voces por palmaditas!Realmente puede ver la edición perfecta guiada por las referencias a las entradas del diario de Williams, no solo vale la pena la observación, pero es una pieza imperrementemente escrita y realizada.Una producción magistral sobre uno de los grandes maestros de la comedia y su vida.El realismo realmente llega a casa con las pequeñas cosas: la fantasía del guardia que, en lugar de usar las técnicas de ""sueño"" tradicionales permanece sólido, entonces desaparece.Se desempeña nuestro conocimiento y nuestros sentidos, particularmente con las escenas relacionadas con Orton y Halliwell y los conjuntos (particularmente de su apartamento con murales de Halliwell que decoran cada superficie) están terriblemente bien hechos.",positive
"Pensé que esta era una manera maravillosa de pasar tiempo en un fin de semana de verano demasiado caliente, sentado en el teatro con aire acondicionado y observando una comedia alegre.La parcela es simplista, pero el diálogo es ingenioso y los personajes son agradables (incluso el asesino en serie de la sospecha de pan del pozo).Mientras que algunos pueden decepcionarse cuando se dan cuenta de que este no es el punto de partido 2: la adicción al riesgo, pensé que era una prueba de que Woody Allen todavía está en control del estilo que muchos de nosotros hemos crecido a amar. Esto fue el más reído.En una de las comedias de Woody en años (¡Dare, digo una década?).Mientras nunca me quedé impresionado con Scarlet Johanson, en esto logró tonificar su imagen ""sexy"" y saltó a una joven promedio, pero enérgica. Esto puede que no sea la joya de la corona de su carrera, pero fue Wittier.""El diablo viste prada"" y más interesante que ""Superman"" una gran comedia para ir a ver con amigos.",positive
"Básicamente, hay una familia donde un niño pequeño (Jake) piensa que hay un zombie en su armario y sus padres están luchando todo el tiempo. Esta película es más lenta que una telenovela ... y de repente, Jake decide convertirse en Rambie y matar al zombi..OK, ¡ante todo cuando vas a hacer una película, debes decidir si es un thriller o un drama!Como drama, la película es vigilable.Los padres están divorciando y discutiendo como en la vida real.¡Y luego tenemos Jake con su armario que arruina totalmente toda la película!Esperaba ver una película similar a una boogeyman, y en lugar de eso, vi a un drama con algunos lugares de thriller sin sentido.3 de 10 solo para los diálogos de padres y descenso de los padres y los padres.En cuanto a los disparos con Jake: simplemente ignóralos.",negative
"El ""amor en el tiempo"" de Petter Mattei es una película visualmente impresionante para ver. El Sr. Mattei nos ofrece un retrato vívido sobre las relaciones humanas. Esta es una película que parece estar diciéndonos qué dinero, poder y éxito le hacen a las personas en las diferentes situaciones que encontramos. Esta es una variación en el desempeño de Arthur Schnitzler sobre el mismo tema, el director transfiere la acción a la actual Nueva York, donde todos estos personajes diferentes se reúnen y se conectan. Cada uno está conectado de una manera u otro a la siguiente persona, pero nadie parece conocer el punto de contacto anterior. Con estilo, la película tiene un aspecto lujoso sofisticado. Nos toman para ver cómo viven estas personas y el mundo que viven en su propio hábitat. La única cosa que se sale de todas estas almas en la imagen son las diferentes etapas de la soledad, cada uno habita. Una gran ciudad no es exactamente el mejor lugar en el que las relaciones humanas encuentran un cumplimiento sincero, ya que un discernimiento es el caso con la mayoría de las personas que encontramos. La actuación es buena bajo la dirección del Sr. Mattei. Steve Buscemi, Rosario Dawson, Carol Kane, Michael Imperioli, Adrian Grenier y el resto del talentoso elenco, hacen que estos personajes cobren vida. Les deseamos que el Sr. Mattei tenga buena suerte y espere ansiosamente su próximo trabajo.",positive
"Probablemente mi película favorita de todos los tiempos, una historia de desinteresidad, sacrificio y dedicación a una causa noble, pero no es predicada ni aburrida.Simplemente nunca envejece, a pesar de haberlo visto unas 15 o más veces en los últimos 25 años.El rendimiento de Paul Lukas trae lágrimas a mis ojos, y Bette Davis, en uno de sus muy pocos roles verdaderamente simpáticos, es una deleite.Los niños son, como dice la abuela, más como ""vestidos de enanos"" que los niños, pero eso solo los hace más divertidos de ver.Y el lento despertar de la madre a lo que está sucediendo en el mundo y bajo su propio techo es creíble y sorprendente.Si tuviera una docena de pulgares, todos serían ""arriba"" para esta película.",positive
"Seguro que me gustaría ver una resurrección de una serie de Seahunt de Dated con la tecnología que tienen hoy. Traería la emoción del niño en mí. Crecí en la televisión en blanco y negro, la TV y la junta de mar con armas de arma eran mis héroes todas las semanas.Mi voto por un regreso de una nueva caza de mar. Necesitamos un cambio de ritmo en la televisión y esto funcionaría para un mundo de la aventura bajo el agua. Oh, por cierto, gracias por un punto de vista así para ver muchos puntos de vista sobre la televisión y elMuchas películas. Así que cualquier otra manera, creo que tengo lo que quiero decir. Sería bueno leer algunos puntos más más sobre la búsqueda del mar. Si mis rimas serían 10 líneas, ¿me dejaría presentarme o dejarme salir?Teniendo en duda y si me quites, si esto es así, entonces debo irme así que lo hagamos.",positive
"Este espectáculo fue una idea increíble, fresca e innovadora en los años 70 cuando se emitió por primera vez.Los primeros 7 u 8 años fueron brillantes, pero las cosas se dejaron después de eso.Para 1990, el espectáculo ya no era realmente divertido, y continúa su descenso a la completa pérdida de tiempo que es hoy. Es verdaderamente vergonzosa hasta qué punto ha caído este espectáculo.La escritura es dolorosamente mala, las actuaciones son casi tan malas, si no para el respiro levemente entretenido de los hosts de invitados, este programa probablemente no estaría en el aire.Me resulta tan difícil creer que el mismo creador que seleccionó a mano el reparto original también eligió la banda de hacks que siguieron.¿Cómo se puede reconocer ese brillo y luego verlos adecuados para reemplazarlo con tal mediocridad?Sentí que debía darle a 2 estrellas del respeto por el elenco original que hizo que este programa fuera un gran éxito.Como es ahora, el espectáculo es simplemente horrible.No puedo creer que todavía esté en el aire.",negative
"Alentados por los comentarios positivos sobre esta película aquí, estaba deseando ver esta película.Mal error.He visto 950+ películas y esto es verdaderamente uno de los peores de ellos, es horrible en casi todos los sentidos: la edición, la ritmo, la historia, la actuación "", la sola canción de la película, una melodía coja, no se juegamenos de cuatro veces).La película se ve barata y desagradable y es aburrida en el extremo.Rara vez he estado tan feliz de ver los créditos finales de una película.Lo único que me impide dar esto un puntaje de 1 es Harvey Keitel, mientras que esto está lejos de su mejor rendimiento, al menos parece estar haciendo un poco de esfuerzo.Uno solo para obsesivos de Keitel.",negative
"Si te gusta la risa original desgarradora, te gustará esta película.Si eres joven o viejo, te encantará esta película, el infierno, incluso a mi mamá le gustó. ¡¡¡Campamento de Great !!!",positive
"Phil El alienígena es una de esas películas peculiares donde el humor se basa en la rareza de todo en lugar de los Punchlines reales. En primer lugar, fue muy extraño y bastante divertido, pero a medida que avanzaba la película. Ya no encontré los chistes o la rareza.Es una película de bajo presupuesto (eso nunca es un problema en sí mismo), hubo algunos personajes bastante interesantes, pero eventualmente acabo de perder interés. Me imagino que esta película atraería a un Stoner que participe actualmente. Para algo similar, pero mejor intente ""hermanode otro planeta """,negative
"Vi esta película cuando tenía alrededor de 12 cuando salí.Recuerdo que la escena más aterradora era el gran ave que comía a los hombres colgando impotentes de los paracaídas justo fuera del aire.El horror.El horror. Un niño joven yendo a estas películas de Cheesy B los sábados por la tarde, todavía estaba cansado de la fórmula para estas películas de tipo monstruo que usualmente incluían al héroe, una hermosa mujer que podría ser la hija de un profesor y una resolución feliz.Cuando el monstruo murió al final.No me importaba mucho por el ángulo romántico como un niño de 12 años y las parcelas predecibles.Los amo ahora para el humor involuntario. Pero, aproximadamente un año más o menos, vi psycho cuando salí y me encantó que la estrella, Janet Leigh, fue golpeada temprano en la película.Me senté y me di cuenta en ese momento.Dado que los guionistas están inventando la historia, asegúrese de ser lo más aterrador posible y no de una fórmula bien usada.No hay reglas.",negative
"Así que no soy un gran fanático del trabajo de Boll, pero de nuevo no muchos son. Disfruté su postal de la película (tal vez soy la única). Casco aparentemente compró los derechos para usar con diferencia de mucho tiempo, incluso antes de que el juego en sí se haya finalizado. Las personas que han disfrutado de matar a Mercs e infiltrantes laboratorios secretos de investigación ubicados en una isla tropical deben ser advertidos, que esto no está muy lejos ... Esto es algo que el Mr Boll se ha unido junto con su legión de Schmucks .. Sentir a Loneley en el set El señor Boll invita a tres de sus compatriotas para jugar. Estos jugadores van por los nombres de Til Schweiger, Udo Kier y Ralf Moeller.Tres, los nombres que realmente los han hecho, bastante grandes en la película Biz. Así que el cuento va así, Jack Carver interpretó a Til Schweiger (sí, SI CARVER es alemán, todo el brátwurst come dudes. VERDADERO a toda la agenda de Carver, pero solo vimos a Carver en una perspectiva de primera persona, por lo que realmente no sabemos lo que parecía cuando estaba pateando a un ** .. Sin embargo, la historia en esta película está más allá de los monos. Vemos al malvado científico loco, el Dr. Krieger interpretado por Udo Kier, lo que hace que los soldados genéticamente mutados o GMS a medida que se llaman. Realizando su investigación secreta en una isla que me recuerda a ""Spoiler"" Vancouver por alguna razón. Eso no tiene palmeras aquí. En su lugar, tenemos un bonito leñador rico en madera. Ni siquiera nos hemos ido mucho antes de empezar a llorar (MEHEHE), no puedo continuar .. Si quieres mantenernos fieles a los chuloles de Shenanigans, vaya a ver esta película, no se sentirá decepcionado, le decepcionará a la verdadera experiencia de Boll, lo que significa La mayoría de ella se chupará. Hay algunas cosas que vale la pena mencionar que implicaría que Boll hizo un buen trabajo en algunas áreas de la película, como algunas bonitas escenas de bote y luchas. Hasta que todo el escuadrón de GMS cromado / albino entra en la escena y todo me hace reír. La película llora lejos de Scheisse (eso es caca para ti simplones) de un Fa, r Si quieres tomar un wiff, adelante ... BTW Carver Obtiene un compañero muy molesto que te hace querer dispararle los primeros tres minutos que está en la pantalla.",negative
"El reparto jugó a Shakespeare.Shakespeare perdido. Aprecio que esto está tratando de traer a Shakespeare a las masas, pero ¿por qué arruinar algo tan bueno? ¿Es porque 'The Scottish Play' es mi Shakespeare favorito?No lo sé.Lo que sí sé es que un cierto agol parte bowdler (por lo tanto, la bowdlerization) trató de hacer algo similar en la era victoriana. En otras palabras, no puedes mejorar la perfección. No tengo más que escribir, pero como tengo que escribir al menos diez líneas deEl texto (y la composición inglesa nunca fue mi fuerte, solo tendré que seguir adelante y decir que esta película, como dice el dicho, simplemente no lo reduce.",negative
"Esta es una fantástica película de tres prisioneros que se hacen famosos.Uno de los actores es George Clooney y no soy un fan, pero este rollo no es malo.Otra cosa buena de la película es la banda sonora (el hombre de tristeza constante).Recomiendo esta película a todos.Saludos bart",positive
"Tipo de las escenas eróticas, solo para darte cuenta de que era uno de los bits de película más aficionados e increíbles que he visto.Tipo de un proyecto de cine de secundaria.¿Qué pensaba Rosanna Arquette?¿Y qué fue con todos esos personajes de acciones en ese extraño pueblo medio oeste?Bastante difícil de involucrarse con este.No hay lecciones que aprender de ella, no hay ideas brillantes, simplemente íntimas y bastante ridículas (pero mucha piel, si eso lo intriga) grabó en video sin sentido ... lo que fue con la relación bisexual, de la nada, después de todos los encuentros heterosexuales..¿Y qué estaba con esa danza absurda, con todos jugando sus roles estereotipados?Dé a este pase, es como un millón de otras millas de películas malas, desperdiciadas, dinero que podría haberse gastado en niños de hambre o SIDA en África ...",negative
"Algunas películas simplemente no deben ser rehacciones.Este es uno de ellos.En sí mismo no es una mala película.Pero no puede capturar el sabor y el terror de la película de 1963 del mismo título.Liam Neeson fue excelente, ya que él siempre es, y la mayor parte del reparto se detiene, con la excepción de Owen Wilson, quien simplemente no trajo la sensación correcta al carácter de Luke.Pero la falla importante con esta versión es que se desvió demasiado lejos de la historia de Shirley Jackson en sus intentos de ser grandiosos y perdió parte de la emoción de la película anterior en una compensación para los efectos especiales más suaves.Una vez más, diré que en sí mismo no es una mala película.Pero disfrutarás de la fricción del terror en la versión anterior mucho más.",positive
"Esta película lo convirtió en una de las 10 mejores películas más horribles. Horrible. No había un minuto continuo donde no había una pelea con un monstruo u otro. No había posibilidad de que ningún desarrollo de personajes, estaban demasiado ocupados corriendo de una lucha de espada a otra. No tuve un apego emocional (excepto a la gran máquina mala que quería destruirlos) las escenas fueron descaradamente robadas de otras películas, Lotr, Star Wars y Matrix. Ejemplos> La escena fantasma al final fue robada de la escena final de las viejas guerras de Star con Yoda, OBEE ONE y VADER. > La máquina de araña al principio era exactamente como Frodo es atacada por la araña a cambio de los reyes. (Elijah Wood es la víctima en ambas películas) y espera ...... Hypnotiza (picaduras) a su víctima y las envuelve ... Uh Hola ????> Y toda la máquina contra el tema de los humanos fue The Matrix..or Terminator ..... Hay más ejemplos, pero ¿por qué perder el tiempo? ¿Y alguien me dirá lo que estaba con los nazis?!?! ¿Los nazis ???? Había una línea de historia juvenil apresurada a una conclusión juvenil. La película no podía decidir si era una película para niños o una película para adultos y tampoco era mucho. Simplemente desagradable. Una verdadera decepción por decir lo menos. Ahorre su dinero.",negative
"Recuerdo esta película, fue la primera película que había visto en el cine. La foto era oscura en los lugares. Estaba muy nervioso, estaba de vuelta en 74/75, mi papá me llevó a mi hermano y hermana de Newbury Cinema en Newbury Berkshire Inglaterra.Recuerdo a los Tigres y la gran cantidad de nieve en la película también la aparición del actor de Adams Grizzly Dan Haggery, creo que uno de los tigres se dispara y muere.Si alguien sabe dónde encontrar esto en DVD, etc., hágamelo saber. El cine ahora se ha convertido en un gimnasio, que es una vergüenza muy grande, ya que el cine más cercano ya está a 20 millas de distancia, le encantaría escuchar a otros que han vistoEsta película o cualquier otra como ella.",positive
"Una película horrible!Debe haber estado en contra de algunos apestos reales para ser nominados para el Golden Globe.Han tomado la historia del primer pintor renacentista femenino famoso y lo destrozó más allá del reconocimiento.Mi queja no es que hayan tomado libertades con los hechos;Si la historia fuera buena, eso podría estar perfectamente bien.Pero es simplemente extraño, por todas las cuentas, la verdadera historia de este artista habría logrado una película mucho mejor, ¿por qué se les ocurrió este script sordo y aburrido?Supongo que no había suficientes personas desnudas en la versión fáctica.Está corriendo apresuradamente al final con un resumen de la vida del artista, podríamos habernos salvado un par de horas si habían favorecido el resto de la película con la misma brevedad.",negative
